County,Total Population,Percentage_Population_Black,"Population, Black",Median_household_income,Renter,No_HS,Overweight,Sedentary,Medical_checkup,ED_Visits_Diabetes
Alachua,266649,20.6,54930,31183,62.8,13.5,21.1,30.6,80.5,470.6
Baker,28089,14,3932,35266,52.9,20.3,24.6,17.7,90.6,629.1
Bay,179900,11.7,21048,38864,59.2,12.7,20.5,29.5,65.7,698.5
Bradford,28455,20.1,5719,25781,61.1,33.8,24.6,17.7,90.6,844.3
Brevard,593372,10.7,63491,41796,44.1,15.4,31.3,39.4,95.3,578.2
Broward,1927014,30.1,580031,47863,52.4,15.5,34.6,28.1,88.1,582.4
Calhoun,14982,13.2,1978,34688,28.6,31.5,29.9,31.6,85.7,1652.2
Charlotte,182298,6,10938,37255,31,17.2,57.2,23.7,80.3,375.3
Citrus,147735,3.2,4728,45370,38.1,19.2,,,,179.6
Clay,217109,12.3,26704,59134,39.2,6.3,30.8,41,81.8,449.9
Collier,377700,7.4,27950,45634,51.4,30.4,51.5,34.4,75.7,395.5
Columbia,70614,18.5,13064,36116,39.1,14.7,36.2,45.4,81.6,684.5
DeSoto,35718,12.6,4500,23285,49.5,30.2,50.1,10.4,75.8,382.3
Dixie,16516,9.9,1635,35386,41.6,31,,,,58
Duval,971842,30.6,297384,40906,58.4,13.2,30.3,28.4,78.6,792.2
Escambia,322901,23.2,74913,35973,54.8,15.5,31.8,32.8,78.6,962.6
Flagler,110636,10.7,11838,40548,32.8,10.4,37.4,14,96.2,489.7
Franklin,12017,12.4,1490,50217,40.2,31.5,,,82,1040.2
Gadsden,47926,55.8,26743,33594,36.1,25.4,18.6,37.3,80.5,937.8
Gilchrist,17682,5.6,990,26250,27.8,41.1,,,,310.2
Glades,13098,13.8,1808,0,47.6,33.1,,32.6,58.8,228.6
Gulf,16507,17.1,2823,44167,26,19.1,36.9,32.2,75.7,656.5
Hamilton,14787,32.9,4865,27979,50.6,33.9,27.6,33.4,89.1,415
Hardee,27311,7.5,2048,25805,69.7,25.2,,,,762.9
Hendry,40089,12.1,4851,29336,58.4,16.5,29.7,33.6,92.9,709.6
Hernando,189661,6,11380,42447,38.8,14.8,38.4,17.2,71.7,377.2
Highlands,103391,10.5,10856,25851,52.1,22.1,28,25.5,84.1,602.7
Hillsborough,1445243,17.8,257253,42465,62.4,12.1,37.7,32,88.3,459
Holmes,20218,6.7,1355,16490,67.2,30.6,,,,227.4
Indian River,155308,9.5,14754,32224,48.8,21.1,28.8,40.9,72.7,1556.9
Jackson,50325,26.9,13537,25794,41.2,25.6,34.6,30.9,83.1,550.8
Jefferson,14842,34.3,5091,30365,31.7,29.4,33.3,36.8,79.5,507.7
Lafayette,8613,13.5,1163,20885,40.5,42.7,,,,176.3
Lake,354537,11.3,40063,41515,42.5,14,16.1,24.9,76.6,659.1
Lee,734630,9.1,66851,42572,55.5,20.5,52.3,38.1,68.2,582.4
Leon,296717,31.7,94059,35039,66.1,12.2,32.6,23.4,81.7,670.5
Levy,41354,9.4,3887,25372,53.8,25.1,,,,253.3
Liberty,9167,19.5,1788,52328,29,27.8,15.8,39.6,80.1,418.5
Madison,19533,37.8,7383,24885,39.3,32.6,25.9,38.8,87.8,730.6
Manatee,388729,9.1,35374,40777,57,14.8,20.6,28,69.9,780.9
Marion,360053,13.5,48607,34474,49.9,18.2,43,30.9,86.7,521.5
Martin,158006,5.7,9006,36467,63.1,24.8,,,,462.3
Miami-Dade,2830500,17.9,506660,37839,57,21.1,37.3,27.5,84.4,490
Monroe,73253,6.9,5054,50750,81,11.4,,,,471.5
Nassau,85135,6,5108,41583,37.1,11.7,45.6,28.5,92.9,835.3
Okaloosa,201104,10.3,20714,53514,57.5,13.5,38.5,50.9,75.9,603
Okeechobee,41347,9.1,3763,33671,43,33.1,,,,661.3
Orange,1389297,22.7,315370,44883,57.4,15.2,29.8,30.1,81.8,429.4
Osceola,368678,13.9,51246,50076,41,13.4,60.8,42.3,78.4,304.7
Palm Beach,1458576,19.7,287339,47646,55.7,20.3,46.7,31.4,86.7,492.5
Pasco,527174,6.5,34266,55294,47.3,11.8,,26.1,75.2,489.6
Pinellas,979558,11.1,108731,39080,60.5,15.2,35.4,30.2,71.3,656.1
Polk,688770,16.1,110892,38295,50.1,17.8,32.8,30.4,75.1,888.6
Putnam,73012,16.4,11974,25051,55.5,23.6,28.9,31.1,81.9,1089.4
Santa Rosa,179875,6.5,11692,62109,29.6,21.5,,,,478.7
Sarasota,426977,4.8,20495,40559,52.4,17,28.8,15.3,71.6,484.5
Seminole,472775,12.9,60988,48421,55.8,10.1,45.8,26.4,80.5,422.7
St. Johns,249734,5.5,13735,47513,27.3,12.6,13.2,27.6,67,321.1
St. Lucie,309073,21,64905,41776,43.4,20.3,31.4,36.9,80.9,621.6
Sumter,130642,7.5,9798,23962,32.7,23.8,,,,287.7
Suwannee,45482,12.8,5822,27520,38.7,18.9,19.9,32.6,67.8,511.7
Taylor,22652,19.6,4440,23607,57.5,34,25.7,36,89.6,470.5
Union,15985,22.6,3613,31000,65.9,36,16.1,37.3,61.7,289.9
Volusia,539563,11.4,61510,35140,57.6,12.5,21.5,29.5,71.3,643.8
Wakulla,32418,13.1,4247,38405,16.7,18.7,,,,488.6
Walton,70352,5.2,3658,33438,43.6,21.7,,,88.3,302.9
Washington,25347,14.9,3777,26127,32.9,25,30,32.5,85.5,642.9
